SK_ID_CURR,TARGET
100001,3.5671995925368825e-45
100005,1.0
100013,4.1232618157073796e-106
100028,0.0
100038,6.1907147349473615e-83
100042,4.427026231772772e-267
100057,1.0199154902379866e-113
100065,4.580830416248972e-66
100066,0.0
100067,2.3903856457499135e-65
100074,0.9868821358266726
100090,3.246194004267393e-34
100091,3.652981376062092e-192
100092,0.9999999999922693
100106,8.117752075304083e-100
100107,6.090151704408544e-83
100109,1.9648660838518825e-130
100117,1.1968799330880408e-21
100128,1.5917630809473154e-108
100141,4.991927423970327e-95
100150,1.8556730043141595e-13
100168,5.3301141299097374e-107
100169,1.4418553284721843e-78
100170,0.0
100171,7.400904419905553e-65
100172,1.0
100184,9.195803914761644e-17
100187,8.845633943666377e-165
100212,0.3995240782016119
100222,0.0
100223,6.832827765770179e-161
100232,7.874230931207612e-27
100241,1.0
100245,3.114955682626732e-265
100253,3.9246177084473986e-106
100256,5.442393274393439e-15
100271,7.098997384213235e-286
100278,2.9081753318127848e-09
100280,0.0
100306,7.11378946110744e-05
100311,1.022887419866844e-51
100312,1.729820288929498e-31
100330,2.692047019525231e-127
100331,1.5024295165433447e-158
100352,6.214334280208231e-91
100358,7.7170600360143665e-112
100367,2.4102372456009034e-63
100382,1.983557612994304e-77
100384,7.31095878984619e-12
100385,1.81129744473903e-156
100386,1.4542281811137735e-125
100399,0.0
100404,1.1095954203083724e-261
100416,8.640004495431103e-67
100422,3.7412869820633434e-80
100426,1.796158536361359e-61
100438,1.5411759372614175e-21
100444,2.3520044768339713e-120
100445,1.3181187813588964e-34
100446,9.55134905674717e-66
100447,3.352436183568434e-18
100450,0.9999999923275595
100466,2.6619136180395383e-125
100483,9.892890889647786e-131
100484,1.0134418388891522e-175
100494,1.62973870163611e-34
100510,0.0
100512,7.287576869109623e-21
100517,1.568230794228222e-290
100548,0.0003241286891766547
100551,2.0851833388327788e-62
100552,6.8401605968169165e-62
100553,1.8527145521468386e-58
100561,2.2652183990432025e-86
100568,1.0
100569,9.540220328418453e-188
100591,1.235317296470673e-88
100592,3.167858138943784e-129
100602,4.4162774744808085e-09
100607,3.142453144334999e-39
100613,0.9999999274197675
100617,3.323534049842033e-114
100618,6.827386441087884e-110
100622,1.0
100625,1.92640987757206e-18
100677,2.0870316089526093e-205
100699,1.094566798381461e-163
100702,8.907644882525463e-73
100711,5.497548274237215e-99
100729,0.00013375391082032017
100740,1.0
100744,1.2067875783293701e-37
100745,3.609495193195367e-40
100747,0.0
100751,1.0
100752,1.1998619424942735e-75
100753,3.645055160945465e-76
100754,3.093109478293336e-26
100760,1.6833817832877012e-09
100762,2.4511892467850036e-87
100763,1.5103525327456237e-54
100765,3.9869082320338676e-25
100770,5.75345210610291e-121
100772,0.0
100777,0.0
100791,1.7488130079782585e-36
100792,5.813915317863467e-64
100797,3.1808836701807928e-102
100823,1.0172251587490275e-139
100826,4.823254370668204e-115
100830,1.4058835640226227e-32
100836,1.0
100872,7.41297563753677e-46
100910,3.0744247556047444e-115
100913,4.9631601040257845e-133
100918,2.272206713939024e-230
100931,1.4176369880700666e-147
100952,1.0
100953,1.5858348843401119e-180
100965,1.0
100970,6.314812170302245e-21
100982,0.789791772742737
100983,0.0
100984,8.819179227140376e-101
100987,2.3667539541454728e-253
100997,1.4212778626041613e-99
100998,0.0014410110931838153
101002,0.9732329779720782
101005,8.435494535954302e-48
101008,2.0985814554613812e-33
101020,0.008856202009093947
101021,2.264671246367938e-91
101024,0.0
101025,1.0
101026,5.3123674482087746e-86
101031,6.494874203078618e-101
101041,3.041414825795763e-142
101051,1.0947135884979722e-178
101055,0.9999999999993179
101056,1.0
101057,3.6962200339375695e-14
101064,1.0
101079,1.2396708372625453e-27
101087,5.585366872375288e-136
101090,1.364328642427202e-108
101092,1.4543828998602803e-101
101097,1.0611427850787927e-29
101099,1.3877913334302178e-39
101107,1.1689496784302845e-59
101118,1.9342896382633102e-57
101125,4.3121849188082235e-95
101126,7.628659978795384e-11
101128,0.0
101136,0.9999999715981578
101140,1.7902642162230166e-06
101149,4.1491535783784704e-35
101160,4.579560316525443e-167
101169,8.909780985906801e-126
101181,1.1981116938324792e-165
101186,1.7155926631801755e-72
101190,1.199881512453623e-22
101193,0.08715264941191261
101194,0.9999999999999432
101198,1.0
101200,0.0
101204,1.1822439765048562e-106
101211,1.0340734850588726e-110
101213,0.9922002770124126
101223,8.648662862728949e-62
101225,1.701923965187524e-138
101237,1.4523395193172474e-16
101243,0.8628999496035157
101244,1.0
101258,9.592244375316502e-47
101259,1.0
101268,4.5266289934580874e-57
101269,4.129895458214781e-110
101271,2.2396658787647865e-25
101279,0.9999918984006707
101281,8.802504815301761e-162
101287,4.665651362759699e-67
101292,0.9999998442177805
101294,2.382492628727166e-37
101296,2.78448084789803e-06
101297,2.76191087720509e-128
101299,2.999963785920951e-190
101301,1.1993517093170763e-123
101305,0.9999999972324076
101308,0.0
101318,3.278896498076338e-25
101327,3.360752023639569e-126
101329,6.0653809413948796e-12
101332,1.2878338301803223e-09
101337,2.2077939304035767e-51
101343,2.190792546924445e-141
101345,1.549782390641791e-05
101346,4.3795939780924055e-116
101353,0.0
101354,1.0
101355,3.1677058655882513e-158
101356,1.913149035907424e-24
101362,0.9999981334237388
101363,0.0
101365,1.832920933214796e-176
101366,3.539479889877661e-16
101367,2.4224984721819457e-06
101368,0.0
101374,4.036671927565705e-83
101380,4.117867370042301e-80
101383,1.461770980128911e-68
101398,1.6113760185356518e-51
101399,0.9999999999982094
101401,8.102004094364879e-57
101412,1.0
101426,2.5668094313766785e-66
